****************************************************************************************************
                              NEIGHBORHOOD MATCHING VALIDATION REPORT
====================================================================================================
Total matched/processed records: 1177

ILCE                          MAHALLE                       AFAD_MAHALLE                  ESLESME_TURU                  
BERGAMA                       GOCBEYLI                      GOCBEYLI                      EXACT                         
BERGAMA                       GOKCEYURT                     GOKCEYURT                     EXACT                         
BERGAMA                       GULTEPE                       GULTEPE                       EXACT                         
BERGAMA                       GUNESLI                       GUNESLI                       EXACT                         
BERGAMA                       HACIHAMZALAR                  HACIHAMZALAR                  EXACT                         
BERGAMA                       HACILAR(ISMAILLIBUCAGI)       ISMAILLI                      SUBSTRING                     
BERGAMA                       HALILAGALAR                   HALILAGALAR                   EXACT                         
BERGAMA                       HAMZALISULEYMANIYE            HAMZALISULEYMANIYE            EXACT                         
BERGAMA                       HISARKOY                      HISARKOY                      EXACT                         
BERGAMA                       IKIZLER                       IKIZLER                       EXACT                         
BERGAMA                       ILGINCABER                    ILGINCABER                    EXACT                         
BERGAMA                       INCECIKLER                    INCECIKLER                    EXACT                         
BERGAMA                       INESIR                        INESIR                        EXACT                         
BERGAMA                       INKILAP                       INKILAP                       EXACT                         
BERGAMA                       ISLAMSARAY                    ISLAMSARAY                    EXACT                         
BERGAMA                       KADIKOY                       KADIKOY                       EXACT                         
BERGAMA                       KALEARDI                      KALEARDI(CABER)               BASE_EXACT                    
BERGAMA                       KAPLAN(GOCBEYLIBUCAGI)        KAPLAN/GOCBEYLI               BASE_EXACT                    
BERGAMA                       KAPLAN(YUKARIBEYBUCAGI)       YUKARIBEY                     SUBSTRING                     
BERGAMA                       KAPUKAYA                      KAPUKAYA                      EXACT                         
BERGAMA                       KARAHIDIRLI                   KARAHIDIRLI                   EXACT                         
BERGAMA                       KARALAR                       KARALAR                       EXACT                         
BERGAMA                       KARAVELILER                   KARAVELILER                   EXACT                         
BERGAMA                       KASIKCI                       KASIKCI                       EXACT                         
BERGAMA                       KATRANCI                      KATRANCI                      EXACT                         
BERGAMA                       KIRANLI                       KIRANLI                       EXACT                         
BERGAMA                       KIRCALAR                      KIRCALAR                      EXACT                         
BERGAMA                       KIZILTEPE                     KIZILTEPE                     EXACT                         
BERGAMA                       KOCAHALILLER                  KOCAHALILLER                  EXACT                         
BERGAMA                       KOCAKOY                       KOCAKOY                       EXACT                         
BERGAMA                       KOYUNELI                      KOYUNELI                      EXACT                         
BERGAMA                       KOZLUCA                       KOZLUCA                       EXACT                         
BERGAMA                       KUCUKKAYA                     KUCUKKAYA(KADRIYE)            BASE_EXACT                    
BERGAMA                       KURFALLI                      KURFALLI                      EXACT                         
BERGAMA                       KURTULUS                      KURTULUS                      EXACT                         
BERGAMA                       MALTEPE                       MALTEPE                       EXACT                         
BERGAMA                       MARUFLAR                      MARUFLAR                      EXACT                         
BERGAMA                       MURATLAR                      MURATLAR                      EXACT                         
BERGAMA                       NARLICA                       NARLICA                       EXACT                         
BERGAMA                       OKCULAR                       OKCULAR                       EXACT                         
BERGAMA                       OKSUZLER                      OKSUZLER                      EXACT                         
BERGAMA                       ORENLI                        ORENLI                        EXACT                         
BERGAMA                       ORLEMIS                       ORLEMIS                       EXACT                         
BERGAMA                       ORUSLAR                       ORUSLAR                       EXACT                         
BERGAMA                       OVACIK                        OVACIK                        EXACT                         
BERGAMA                       PASAKOY                       PASAKOY                       EXACT                         
BERGAMA                       PINARKOY                      PINARKOY                      EXACT                         
BERGAMA                       PIRVELILER                    PIREVELILER                   STRICT_FUZZY                  
BERGAMA                       RAHMANLAR                     RAHMANLAR                     EXACT                         
BERGAMA                       SAGANCI                       SAGANCI                       EXACT                         
BERGAMA                       SARICALAR                     SARICALAR                     EXACT                         
BERGAMA                       SARICAOGLU                    SARICAOGLU                    EXACT                         
BERGAMA                       SARIDERE                      SARIDERE                      EXACT                         
BERGAMA                       SEKLIK                        SEKLIK                        EXACT                         
BERGAMA                       SELCUK                        SELCUK                        EXACT                         
BERGAMA                       SINDEL                        SINDEL                        EXACT                         
BERGAMA                       SULEYMANLI                    SULEYMANLI                    EXACT                         
BERGAMA                       TAVUKCUKURU                   TAVUKCUKURU                   EXACT                         
BERGAMA                       TEKKEDERE                     TEKKEDERE                     EXACT                         
BERGAMA                       TEPEKOY                       TEPEKOY                       EXACT                         
BERGAMA                       TERZIHALILLER                 TERZIHALILLER                 EXACT                         
BERGAMA                       TIRMANLAR                     TIRMANLAR                     EXACT                         
BERGAMA                       TIYELTI                       TIYELTI                       EXACT                         
BERGAMA                       TOPALLAR                      TOPALLAR                      EXACT                         
BERGAMA                       UCTEPE                        UCTEPE                        EXACT                         
BERGAMA                       ULUCAMII                      ULUCAMI                       SUBSTRING                     
BERGAMA                       URKUTLER                      URKUTLER                      EXACT                         
BERGAMA                       YALNIZDAM                     YALNIZDAM                     EXACT                         
BERGAMA                       YALNIZEV                      YALNIZEV                      EXACT                         
BERGAMA                       YENIKENT                      YENIKENT                      EXACT                         
BERGAMA                       YENILER                       YENILER                       EXACT                         
BERGAMA                       YERLITAHTACI                  YERLITAHTACI                  EXACT                         
BERGAMA                       YORTANLI                      YORTANLI                      EXACT                         
BERGAMA                       YUKARIADA                     YUKARIADA                     EXACT                         
BERGAMA                       YUKARICUMA                    YUKARICUMA                    EXACT                         
BERGAMA                       YUKARIKIRIKLAR                YUKARIKIRIKLAR                EXACT                         
BERGAMA                       ZAFER                         ZAFER                         EXACT                         
BERGAMA                       ZAGNOZ                        ZAGNOS                        STRICT_FUZZY                  
BERGAMA                       ZEYTINDAG                     ZEYTINDAG                     EXACT                         
BEYDAG                        ADAKURE                       ADAKURE                       EXACT                         
BEYDAG                        AKTEPE                        AKTEPE                        EXACT                         
BEYDAG                        ALAKECILI                     ALAKECILI                     EXACT                         
BEYDAG                        ATATURK                       ATATURK                       EXACT                         
BEYDAG                        BAKIRKOY                      BAKIRKOY                      EXACT                         
BEYDAG                        BEYKOY                        BEYKOY                        EXACT                         
BEYDAG                        CAMLIK                        CAMLIK                        EXACT                         
BEYDAG                        CIFTLIKKOY                    CIFTLIKKOY                    EXACT                         
BEYDAG                        COMAKLAR                      COMAKLAR                      EXACT                         
BEYDAG                        CUMHURIYET                    CUMHURIYET                    EXACT                         
BEYDAG                        EGRIDERE                      EGRIDERE                      EXACT                         
BEYDAG                        ERIKLI                        ERIKLI                        EXACT                         
BEYDAG                        HALIKOY                       HALIKOY                       EXACT                         
BEYDAG                        KARAOBA                       KARAOBA                       EXACT                         
BEYDAG                        KURUDERE                      KURUDERE                      EXACT                         
BEYDAG                        MENDERES                      MENDERES                      EXACT                         
BEYDAG                        MUTAFLAR                      MUTAFLAR                      EXACT                         
BEYDAG                        PALAMUTCUK                    PALAMUTCUK                    EXACT                         
BEYDAG                        SARIKAYA                      SARIKAYA                      EXACT                         
BEYDAG                        TABAKLAR                      TABAKLAR                      EXACT                         
BEYDAG                        YAGCILAR                      YAGCILAR                      EXACT                         
BEYDAG                        YENIYURT                      YENIYURT                      EXACT                         
BEYDAG                        YESILTEPE                     YESILTEPE                     EXACT                         
BEYDAG                        YUKARIAKTEPE                  YUKARIAKTEPE                  EXACT                         
BEYDAG                        YUKARITOSUNLAR                YUKARITOSUNLAR                EXACT                         
BORNOVA                       ATATURK                       ATATURK                       EXACT                         
BORNOVA                       BARBAROS                      BARBAROS                      EXACT                         
BORNOVA                       BESYOL                        BESYOL                        EXACT                         
BORNOVA                       BIRLIK                        BIRLIK                        EXACT                         
BORNOVA                       CAMICI                        CAMICI                        EXACT                         
BORNOVA                       CAMKULE                       CAMKULE                       EXACT                         
BORNOVA                       CICEKLI                       CICEKLI                       EXACT                         
BORNOVA                       CINAR                         CINAR                         EXACT                         
BORNOVA                       DOGANLAR                      DOGANLAR                      EXACT                         
BORNOVA                       EGEMENLIK                     EGEMENLIK                     EXACT                         
BORNOVA                       EGRIDERE                      EGRIDERE                      EXACT                         
BORNOVA                       ERGENE                        ERGENE                        EXACT                         
BORNOVA                       ERZENE                        ERZENE                        EXACT                         
BORNOVA                       EVKA3                         EVKA3                         EXACT                         
BORNOVA                       EVKA4                         EVKA4                         EXACT                         
BORNOVA                       GAZIOSMANPASA                 GAZIOSMANPASA                 EXACT                         
BORNOVA                       GOKDERE                       GOKDERE                       EXACT                         
BORNOVA                       GURPINAR                      GURPINAR                      EXACT                         
BORNOVA                       INONU                         INONU                         EXACT                         
BORNOVA                       ISIKLAR                       ISIKLAR                       EXACT                         
BORNOVA                       KARACAM                       KARACAM                       EXACT                         
BORNOVA                       KARACAOGLAN                   KARACAOGLAN                   EXACT                         
BORNOVA                       KAVAKLIDERE                   KAVAKLIDERE                   EXACT                         
BORNOVA                       KAYADIBI                      KAYADIBI                      EXACT                         
BORNOVA                       KAZIMDIRIK                    KAZIMDIRIK                    EXACT                         
BORNOVA                       KEMALPASA                     KEMALPASA                     EXACT                         
BORNOVA                       KIZILAY                       KIZILAY                       EXACT                         
BORNOVA                       KOSUKAVAK                     KOSUKAVAK                     EXACT                         
BORNOVA                       KURUDERE                      KURUDERE                      EXACT                         
BORNOVA                       LAKA                          LAKA                          EXACT                         
BORNOVA                       MERIC                         MERIC                         EXACT                         
BORNOVA                       MERKEZ                        MERKEZ                        EXACT                         
BORNOVA                       MEVLANA                       MEVLANA                       EXACT                         
BORNOVA                       NALDOKEN                      NALDOKEN                      EXACT                         
BORNOVA                       RAFETPASA                     RAFETPASA                     EXACT                         
BORNOVA                       SERINTEPE                     SERINTEPE                     EXACT                         
BORNOVA                       TUNA                          TUNA                          EXACT                         
BORNOVA                       UMIT                          UMIT                          EXACT                         
BORNOVA                       YESILCAM                      YESILCAM                      EXACT                         
BORNOVA                       YESILOVA                      YESILOVA                      EXACT                         
BORNOVA                       YILDIRIMBEYAZIT               YILDIRIMBEYAZIT               EXACT                         
BORNOVA                       YUNUSEMRE                     YUNUSEMRE                     EXACT                         
BORNOVA                       ZAFER                         ZAFER                         EXACT                         
BUCA                          29EKIM                        29EKIM                        EXACT                         
BUCA                          ADATEPE                       ADATEPE                       EXACT                         
BUCA                          AKINCILAR                     AKINCILAR                     EXACT                         
BUCA                          ATATURK                       ATATURK                       EXACT                         
BUCA                          AYDOGDU                       AYDOGDU                       EXACT                         
BUCA                          BARIS                         BARIS                         EXACT                         
BUCA                          BELENBASI                     BELENBASI                     EXACT                         
BUCA                          BUCAKOOP                      BUCAKOOP.                     EXACT                         
BUCA                          CAGDAS                        CAGDAS                        EXACT                         
BUCA                          CALDIRAN                      CALDIRAN                      EXACT                         
BUCA                          CAMLIKULE                     CAMLIKULE                     EXACT                         
BUCA                          CAMLIPINAR                    CAMLIPINAR                    EXACT                         
BUCA                          CUMHURIYET                    CUMHURIYET                    EXACT                         
BUCA                          DICLE                         DICLE                         EXACT                         
BUCA                          DOGANCILAR                    DOGANCILAR                    EXACT                         
BUCA                          EFELER                        EFELER                        EXACT                         
BUCA                          FIRAT                         FIRAT                         EXACT                         
BUCA                          GAZILER                       GAZILER                       EXACT                         
BUCA                          GOKSU                         GOKSU                         EXACT                         
BUCA                          GUVEN                         GUVEN                         EXACT                         
BUCA                          HURRIYET                      HURRIYET                      EXACT                         
BUCA                          INKILAP                       INKILAP                       EXACT                         
BUCA                          INONU                         INONU                         EXACT                         
BUCA                          IZKENT                        IZKENT                        EXACT                         
BUCA                          KARACAAGAC                    KARACAAGAC                    EXACT                         
BUCA                          KARANFIL                      KARANFIL                      EXACT                         
BUCA                          KAYNAKLARMERKEZ               KAYNAKLARMERKEZ               EXACT                         
BUCA                          KIRKLAR                       KIRKLAR                       EXACT                         
BUCA                          KOZAGAC                       KOZAGAC                       EXACT                         
BUCA                          KURUCESME                     KURUCESME                     EXACT                         
BUCA                          LALELI                        LALELI                        EXACT                         
BUCA                          MENDERES                      MENDERES                      EXACT                         
BUCA                          MURATHAN                      MURATHAN                      EXACT                         
BUCA                          MUSTAFAKEMAL                  MUSTAFAKEMAL                  EXACT                         
BUCA                          SEYHAN                        SEYHAN                        EXACT                         
BUCA                          SIRINKAPI                     SIRINKAPI                     EXACT                         
BUCA                          UFUK                          UFUK                          EXACT                         
BUCA                          VALIRAHMIBEY                  VALIRAHMIBEY                  EXACT                         
BUCA                          YAYLACIK                      YAYLACIK                      EXACT                         
BUCA                          YENIGUN                       YENIGUN                       EXACT                         
BUCA                          YESILBAGLAR                   YESILBAGLAR                   EXACT                         
BUCA                          YIGITLER                      YIGITLER                      EXACT                         
BUCA                          YILDIZ                        YILDIZ                        EXACT                         
BUCA                          ZAFER                         ZAFER                         EXACT                         
CESME                         16EYLUL                       16EYLUL                       EXACT                         
CESME                         ALACATI                       ALACATI                       EXACT                         
CESME                         ALTINKUM                      ALTINKUM                      EXACT                         
CESME                         ALTINYUNUS                    ALTINYUNUS                    EXACT                         
CESME                         ARDIC                         ARDIC                         EXACT                         
CESME                         BOYALIK                       BOYALIK                       EXACT                         
CESME                         CAKABEY                       CAKABEY                       EXACT                         
CESME                         CELALBAYAR                    CELALBAYAR                    EXACT                         
CESME                         CIFTLIK                       CIFTLIK                       EXACT                         
CESME                         CUMHURIYET                    CUMHURIYET                    EXACT                         
CESME                         DALYAN                        DALYAN                        EXACT                         
CESME                         FAHRETTINPASA                 FAHRETTINPASA                 EXACT                         
CESME                         GERMIYAN                      GERMIYAN                      EXACT                         
CESME                         ILDIR                         ILDIR                         EXACT                         
CESME                         ILICA                         ILICA                         EXACT                         
CESME                         ISMETINONU                    ISMETINONU                    EXACT                         
CESME                         KARAKOY                       KARAKOY                       EXACT                         
CESME                         MUSALLA                       MUSALLA                       EXACT                         
CESME                         OVACIK                        OVACIK                        EXACT                         
CESME                         REISDERE                      REISDERE                      EXACT                         
CESME                         SAKARYA                       SAKARYA                       EXACT                         
CESME                         SEHITMEHMET                   SEHITMEHMET                   EXACT                         
CESME                         SIFNE                         SIFNE                         EXACT                         
CESME                         UNIVERSITE                    UNIVERSITE                    EXACT                         
CESME                         YALI                          YALI                          EXACT                         
CIGLI                         AHMETEFENDI                   AHMETEFENDI                   EXACT                         
CIGLI                         AHMETTANERKISLALI             AHMETTANERKISLALI             EXACT                         
CIGLI                         ATASEHIR                      ATASEHIR                      EXACT                         
CIGLI                         ATATURK                       ATATURK                       EXACT                         
CIGLI                         AYDINLIKEVLER                 AYDINLIKEVLER                 EXACT                         
CIGLI                         BALATCIK                      BALATCIK                      EXACT                         
CIGLI                         CAGDAS                        CAGDAS                        EXACT                         
CIGLI                         CUMHURIYET                    CUMHURIYET                    EXACT                         
CIGLI                         EGEKENT                       EGEKENT                       EXACT                         
CIGLI                         ESENTEPE                      ESENTEPE                      EXACT                         
CIGLI                         EVKA-2                        EVKA-2                        EXACT                         
CIGLI                         EVKA-5                        EVKA-5                        EXACT                         
CIGLI                         EVKA-6                        EVKA-6                        EXACT                         
CIGLI                         GUZELTEPE                     GUZELTEPE                     EXACT                         
CIGLI                         HARMANDALIGAZIMUSTAFAKEMALATATURKHARMANDALIGAZIMUSTAFAKEMAL
ATATURKEXACT                         
CIGLI                         INONU                         INONU                         EXACT                         
CIGLI                         IZKENT                        IZKENT                        EXACT                         
CIGLI                         KAKLIC                        KAKLIC                        EXACT                         
CIGLI                         KOYICI                        KOYICI                        EXACT                         
CIGLI                         KUCUKCIGLI                    KUCUKCIGLI                    EXACT                         
CIGLI                         MALTEPE                       MALTEPE                       EXACT                         
CIGLI                         SIRINTEPE                     SIRINTEPE                     EXACT                         
CIGLI                         UGURMUMCU                     UGURMUMCU                     EXACT                         
CIGLI                         YAKAKENT                      YAKAKENT                      EXACT                         
CIGLI                         YENIMAHALLE                   YENIMAHALLE                   EXACT                         
DIKILI                        BADEMLI                       BADEMLI                       EXACT                         
DIKILI                        BAHCELI                       BAHCELI                       EXACT                         
DIKILI                        CAGLAN                        CAGLAN                        EXACT                         
DIKILI                        CANDARLI                      CANDARLI                      EXACT                         
DIKILI                        CUKURALANI                    CUKURALAN                     SUBSTRING                     
DIKILI                        CUMHURIYET                    CUMHURIYET                    EXACT                         
DIKILI                        DELIKTAS                      DELIKTAS                      EXACT                         
DIKILI                        DEMIRTAS                      DEMIRTAS                      EXACT                         
DIKILI                        DENIZKOY                      DENIZKOY                      EXACT                         
DIKILI                        ESENTEPE                      ESENTEPE                      EXACT                         
DIKILI                        GAZIPASA                      GAZIPASA                      EXACT                         
DIKILI                        GOKCEAGIL                     GOKCEAGIL                     EXACT                         
DIKILI                        ISLAMLAR                      ISLAMLAR                      EXACT                         
DIKILI                        ISMETPASA                     ISMETPASA                     EXACT                         
DIKILI                        KABAKUM                       KABAKUM                       EXACT                         
